Date,Symbol,Open,High,Low,Close,Volume ETH,Volume TUSD,tradecount
9/4/2022,ETHTUSD,1555.54,1581.07,1531.75,1577.32,15.1741,23689.47101,431
9/3/2022,ETHTUSD,1574.5,1580.91,1535.13,1552.56,57.8055,89788.07914,530
9/2/2022,ETHTUSD,1583.04,1647.72,1545.91,1576.7,42.6148,67835.09666,804
9/1/2022,ETHTUSD,1551.27,1596.33,1502.36,1585.31,60.0703,93187.06885,1033
8/31/2022,ETHTUSD,1527.8,1619.55,1519.5,1550.57,54.9652,86790.88803,1219
8/30/2022,ETHTUSD,1544.48,1604.18,1476.76,1523.45,156.0485,241656.2129,1462
8/29/2022,ETHTUSD,1428.41,1557.75,1424.07,1553.81,112.0572,170127.5261,1039
8/28/2022,ETHTUSD,1486.38,1510.21,1426.49,1427.44,57.868,85842.88161,394
8/27/2022,ETHTUSD,1507.89,1518.46,1449.48,1487.22,137.5727,204083.9938,764
8/26/2022,ETHTUSD,1693.5,1710.65,1492.82,1510.28,138.4327,222061.5079,1182
8/25/2022,ETHTUSD,1655.89,1721.47,1655.89,1695.57,43.2391,73199.14963,540
8/24/2022,ETHTUSD,1665.91,1694.15,1605.91,1655.43,65.8593,108872.2536,695
8/23/2022,ETHTUSD,1624.03,1673.35,1564.58,1664.78,107.204,173935.6539,1086
8/22/2022,ETHTUSD,1614.46,1628.2,1526.11,1626.3,59.728,93882.3087,1376
8/21/2022,ETHTUSD,1576.91,1644.69,1563.79,1618.03,65.6764,105901.6097,988
8/20/2022,ETHTUSD,1611.52,1656.61,1524.29,1576.82,86.5437,138043.0902,1248
8/19/2022,ETHTUSD,1845.54,1845.54,1604.51,1611.5,196.6279,335383.9645,1526
8/18/2022,ETHTUSD,1833.65,1881.38,1823.71,1845.42,30.8032,57198.6434,838
8/17/2022,ETHTUSD,1877.76,1954.43,1800,1835.53,218.2184,405031.4145,1151
8/16/2022,ETHTUSD,1895.63,1913.78,1857.35,1878.41,45.7653,86100.40657,897
8/15/2022,ETHTUSD,1935.11,2008.75,1869.18,1899.9,126.0813,240082.3793,1314
8/14/2022,ETHTUSD,1984.11,2027.5,1905.3,1937.33,67.1438,132081.8355,1175
8/13/2022,ETHTUSD,1954.68,2019.18,1950.05,1985.08,144.4437,286338.8393,879
8/12/2022,ETHTUSD,1883.41,1963.69,1858.49,1960.29,80.1569,153707.1989,812
8/11/2022,ETHTUSD,1853.08,1942.69,1694.19,1880.05,223.5247,422871.1608,1230
8/10/2022,ETHTUSD,1700.44,1874.99,1650,1854.04,187.686,333851.8402,1240
8/9/2022,ETHTUSD,1777.84,1789.28,1672.41,1702.8,82.3673,142372.72,898
8/8/2022,ETHTUSD,1701.01,1813.04,1695.58,1777.33,69.3766,122476.9258,694
8/7/2022,ETHTUSD,1689.66,1728.18,1667.05,1699.49,51.4077,86968.49773,530
8/6/2022,ETHTUSD,1735.16,1748.4,1687.73,1690.84,98.0914,168900.4071,717
8/5/2022,ETHTUSD,1608.97,1740.95,1605.49,1736.03,232.8358,391663.7245,1674
8/4/2022,ETHTUSD,1617.34,1662.84,1578.79,1606.9,300.9842,489137.6756,1541
8/3/2022,ETHTUSD,1632.39,1682.85,1589.33,1616.34,501.8992,821162.6516,1854
